timestamp,event_type,order_id,side,type,price,quantity
34231704,order,17765146,Sell,Limit,31,100
34231809,order,17768012,Sell,Limit,31,100
34231848,order,17768995,Sell,Limit,31,100
34232494,order,17789670,Sell,Limit,31,100
34232494,order,17789672,Buy,Limit,31,100
34232494,order,17789674,Sell,Limit,31,200
34232494,order,17789675,Sell,Limit,31,100
34232495,order,17789731,Sell,Limit,31,100
34232646,order,17796068,Sell,Limit,31,200
34233277,order,17814731,Buy,Limit,31,200
34233312,order,17816749,Sell,Limit,31,100
34233312,order,17816751,Sell,Limit,31,2800
34233312,order,17816757,Buy,Limit,31,900
34233312,order,17816758,Sell,Limit,31,100
34233312,order,17816760,Sell,Limit,31,300
34233312,order,17816779,Buy,Limit,31,200
34233312,order,17816798,Buy,Limit,31,100
34233313,order,17816813,Buy,Limit,31,100
34233314,order,17817009,Buy,Limit,31,300
34233314,order,17817017,Buy,Limit,31,100
